COMP,x,y,band1,band2,band3,band4,ndvi,N_Actual,P_Actual,K_Actual
AAPA,7391,766,706,629,388,2649,0.7444846888,2.07,0.165,0.69
AAPA,7381,1065,679,535,323,2819,0.7943984723,3.03,0.187,0.51
AAPA,7308,1074,670,523,315,2583,0.7826086956,3.06,0.178,0.55
AAPA,7255,1184,695,550,342,2602,0.7676630435,2.86,0.181,0.56
AAPA,7082,839,683,564,370,2516,0.7435897436,2.95,0.187,0.58
AAPA,7069,654,714,580,396,2441,0.7208318646,2.79,0.176,0.67
AAPA,6881,971,676,555,324,2797,0.792374239,2.7,0.184,0.43
AAPA,6772,425,716,576,364,2956,0.7807228916,2.71,0.165,0.69
AAPA,6772,613,703,585,374,2613,0.7495815199,2.34,0.15,0.61
AAPA,6640,951,685,536,331,2859,0.792476489,3.02,0.184,0.44
AAPA,6639,471,722,567,357,2720,0.7679558011,2.79,0.162,0.64
AAPA,6630,1214,668,528,317,2560,0.7796315607,2.98,0.185,0.73
AAPA,6545,3822,686,622,392,2313,0.7101663586,2.76,0.17,0.46
AAPA,6537,3373,674,595,367,2460,0.7403608065,2.74,0.181,1.13
AAPA,6515,1053,687,545,335,2610,0.7724957555,2.9,0.16,0.64
AAPA,6464,3747,675,565,350,2349,0.7406446832,2.54,0.179,1.02
AAPA,6398,1062,688,562,367,2504,0.7443399512,3.04,0.182,0.67
AAPA,6375,915,682,569,342,2997,0.795148248,2.7,0.154,0.62
AAPA,6264,3131,680,541,328,2886,0.7958929683,2.74,0.176,0.84
AAPA,6262,3821,683,602,353,2323,0.7361733931,2.83,0.19,0.79
AAPA,6259,3343,664,552,344,2289,0.7387011014,2.77,0.189,1.09
AAPA,6186,1647,691,560,351,2605,0.7625169147,2.57,0.15,0.63
AAPA,6181,3562,664,569,342,2141,0.7245267821,2.64,0.185,0.44
AAPA,6061,1886,716,592,382,2871,0.7651398709,2.44,0.145,0.56
AAPA,6047,3421,681,637,382,2525,0.7371861025,2.39,0.167,0.58
AAPA,6042,3654,684,621,374,2543,0.7435721632,2.68,0.166,0.4
AAPA,6023,3345,670,547,329,2410,0.7597663381,2.53,0.183,0.9
AAPA,5959,1955,695,558,354,2422,0.7449567723,2.58,0.145,0.55
AAPA,5955,3753,672,572,333,2598,0.7727737973,2.44,0.167,0.82
AAPA,5948,3823,687,622,386,2347,0.7175265276,2.71,0.16,0.94
AAPA,5945,3274,695,589,354,2552,0.756366139,2.72,0.19,0.73
AAPA,5874,3760,669,555,324,2461,0.7673249551,2.44,0.161,0.56
AAPA,5872,3389,689,595,371,2440,0.7360369975,2.73,0.168,0.83
AAPA,5872,3831,675,551,334,2609,0.7730207271,2.79,0.173,1.01
AAPA,5805,3763,678,585,341,2271,0.7388973966,2.73,0.172,0.56
AAPA,5789,3496,684,621,373,2453,0.7360226468,2.53,0.154,0.77
AAPA,5726,3345,684,553,339,2559,0.7660455487,2.36,0.147,0.59
AAPA,5652,3762,679,556,338,2623,0.7716987504,2.59,0.166,0.72
AAPA,5606,3831,683,558,334,2697,0.7796106895,2.99,0.213,0.79
AAPA,5594,3768,674,589,343,2525,0.7608089261,2.56,0.165,0.82
AAPA,5495,3604,665,544,324,2889,0.7983193277,2.73,0.193,0.92
AAPA,5348,3354,671,525,326,2224,0.7443137255,2.54,0.155,0.53
AAPA,5291,3725,678,551,358,2909,0.7808386899,2.38,0.157,0.91
AAPA,5271,3165,683,555,344,2613,0.7673317552,2.16,0.128,0.83
AAPA,5201,3161,676,534,337,2318,0.7461393597,2.81,0.149,0.83
AAPA,4745,2947,717,615,404,2395,0.7113254734,2.49,0.139,0.38
AAPA,4691,2896,725,623,438,2386,0.6898016997,1.99,0.113,0.24
AAPA,4505,3142,686,550,337,2544,0.7660534537,2.57,0.155,0.56
AAPA,4387,2727,681,551,332,2293,0.747047619,2.37,0.135,0.59
AAPA,4292,2658,673,549,331,2479,0.7644128114,2.56,0.15,0.45
AAPA,4213,2833,685,570,346,2458,0.7532097004,2.45,0.151,0.43
AAPA,4150,2764,734,619,444,2774,0.7240522063,2.52,0.161,0.71
AAPA,4069,2808,699,561,357,2293,0.7305660377,2.4,0.152,0.55
AAPA,3979,3216,674,530,323,2038,0.7263871241,2.55,0.142,0.64
AAPA,3913,3288,684,508,332,1368,0.6094117647,2.39,0.136,0.69
AAPA,3910,2605,693,565,361,2124,0.7094567404,2.28,0.141,0.29
AAPA,3907,2828,703,567,352,2373,0.7416513761,2.57,0.148,0.6
AAPA,3752,2914,692,569,357,2370,0.7381738174,2.58,0.16,0.33
AAPA,3707,2998,701,579,357,2943,0.7836363636,2.48,0.161,0.42
AAPA,3656,2480,691,544,346,2348,0.7431328879,2.47,0.14,0.52
AAPA,3590,2759,722,605,391,2662,0.7438584998,2.85,0.142,0.7
AAPA,3567,2549,702,558,371,2129,0.7032,2.68,0.154,0.52
AAPA,3556,2992,693,556,342,2590,0.7667121419,2.72,0.172,0.59
AAPA,3370,2569,685,558,344,2328,0.7425149701,2.46,0.141,0.56
AAPA,3314,2433,694,585,376,2396,0.7287157287,2.81,0.155,0.38
AAPA,3300,2552,689,539,337,2340,0.7482256257,2.78,0.155,0.57
AAPA,3289,3116,710,587,369,2600,0.7514314584,2.68,0.169,0.68
AAPA,3289,3298,714,586,366,2454,0.7404255319,2.67,0.167,0.5
AAPA,3221,3034,694,570,384,2110,0.6920609463,2.73,0.148,0.38
AAPA,3199,2787,677,549,342,2358,0.7466666667,2.6,0.154,0.79
AAPA,3160,2505,698,593,380,2351,0.721713658,2.52,0.144,0.33
AAPA,3145,2876,692,541,337,2331,0.7473763118,2.71,0.153,0.81
AAPA,3144,2568,690,583,383,2383,0.723065799,2.61,0.137,0.46
AAPA,3071,2937,686,567,354,2385,0.7415115005,2.34,0.14,0.6
AAPA,3026,3008,702,617,369,2517,0.7442827443,2.43,0.137,0.26
AAPA,2858,3289,717,633,385,2802,0.7583934735,1.9,0.116,0.63
AAPA,2849,3103,670,493,303,1616,0.6842105263,2.41,0.148,0.46
AAPA,2821,3033,683,558,336,2279,0.7430210325,2.68,0.166,1.12
AAPA,2755,2905,688,573,377,2003,0.6831932773,2.44,0.137,0.47
AAPA,2475,3158,711,606,380,2878,0.766728054,2.28,0.135,0.25
AAPA,2401,3168,694,573,359,2506,0.7493891798,2.25,0.132,0.34
AAPA,2387,3281,694,578,348,2757,0.7758454106,2.4,0.139,0.54
AAPA,2335,3184,697,586,368,2836,0.7702871411,2.42,0.146,0.57
AAPA,2236,3214,709,586,365,2239,0.7196620584,2.11,0.129,0.33
AAPA,2117,3102,699,582,367,1904,0.6767943637,2.26,0.132,0.34
AAPA,2087,2999,688,567,364,2555,0.7505995204,2.54,0.132,0.44
AAPA,2066,3381,693,556,356,2117,0.7120905782,2.51,0.15,0.35
AAPA,2022,3377,699,572,364,2022,0.6948868399,2.17,0.119,0.22
AAPA,1685,3236,763,700,564,2247,0.598719317,2.33,0.13,0.57
AAPA,1450,3127,697,587,371,2643,0.7538155275,2.56,0.151,0.53
AAPA,1412,3017,690,574,355,2408,0.7430329352,2.32,0.141,0.46
AAPA,1404,2726,695,571,359,2306,0.7305816135,2.23,0.117,0.44
AAPA,1361,3152,706,584,408,1969,0.6567101388,2.17,0.104,0.48
AAPA,1327,2814,689,579,358,2399,0.7402974247,2.43,0.129,0.45
AAPA,1123,2816,697,577,367,2113,0.7040322581,2.39,0.117,0.55
AAPA,1037,2419,679,529,331,2347,0.7528005975,2.46,0.141,0.54
